iter	Passed	Remaining
781	5898	1644
782	5906	1636
783	5913	1629
784	5920	1621
785	5928	1613
786	5935	1606
787	5942	1598
788	5948	1590
789	5956	1583
790	5964	1575
791	5971	1568
792	5978	1560
793	5985	1552
794	5992	1545
795	6000	1537
796	6009	1530
797	6016	1522
798	6023	1515
799	6031	1507
800	6038	1500
801	6045	1492
802	6053	1485
803	6060	1477
804	6067	1469
805	6074	1462
806	6081	1454
807	6087	1446
808	6095	1439
809	6103	1431
810	6111	1424
811	6118	1416
812	6126	1409
813	6135	1401
814	6143	1394
815	6151	1387
816	6158	1379
817	6165	1371
818	6173	1364
819	6180	1356
820	6188	1349
821	6196	1341
822	6204	1334
823	6211	1326
824	6218	1319
825	6226	1311
826	6233	1304
827	6241	1296
828	6248	1288
829	6255	1281
830	6261	1273
831	6269	1265
832	6276	1258
833	6283	1250
834	6291	1243
835	6298	1235
836	6306	1228
837	6313	1220
838	6320	1212
839	6327	1205
840	6334	1197
841	6342	1190
842	6349	1182
843	6357	1175
844	6364	1167
845	6371	1159
846	6378	1152
847	6386	1144
848	6393	1137
849	6401	1129
850	6409	1122
851	6417	1114
852	6424	1107
853	6431	1099
854	6439	1092
855	6446	1084
856	6453	1076
857	6461	1069
858	6469	1061
859	6476	1054
860	6483	1046
861	6490	1039
862	6497	1031
863	6505	1024
864	6513	1016
865	6520	1008
866	6527	1001
867	6535	993
868	6542	986
869	6549	978
870	6556	971
871	6563	963
872	6570	955
873	6577	948
874	6585	940
875	6592	933
876	6599	925
877	6606	917
878	6614	910
879	6621	902
880	6628	895
881	6635	887
882	6643	880
883	6650	872
884	6657	865
885	6664	857
886	6672	850
887	6679	842
888	6686	834
889	6693	827
890	6701	819
891	6708	812
892	6715	804
893	6723	797
894	6730	789
895	6737	782
896	6744	774
897	6752	766
898	6759	759
899	6767	751
900	6774	744
901	6781	736
902	6789	729
903	6796	721
904	6803	714
905	6812	706
906	6818	699
907	6825	691
908	6833	684
909	6840	676
910	6846	668
911	6853	661
912	6860	653
913	6867	646
914	6874	638
915	6881	631
916	6889	623
917	6896	616
918	6903	608
919	6911	600
920	6917	593
921	6924	585
922	6931	578
923	6939	570
924	6947	563
925	6955	555
926	6962	548
927	6970	540
928	6977	533
929	6985	525
930	6993	518
931	7000	510
932	7009	503
933	7016	495
934	7025	488
935	7032	480
936	7040	473
937	7048	465
938	7055	458
939	7062	450
940	7069	443
941	7077	435
942	7085	428
943	7094	420
944	7102	413
945	7110	405
946	7119	398
947	7127	390
948	7135	383
949	7142	375
950	7150	368
951	7158	360
952	7165	353
953	7174	345
954	7182	338
955	7189	330
956	7197	323
957	7205	315
958	7213	308
959	7221	300
960	7229	293
961	7237	285
962	7245	278
963	7253	270
964	7260	263
965	7268	255
966	7275	248
967	7282	240
968	7290	233
969	7298	225
970	7305	218
971	7313	210
972	7321	203
973	7328	195
974	7336	188
975	7343	180
976	7351	173
977	7359	165
978	7366	158
979	7373	150
980	7382	142
981	7389	135
982	7396	127
983	7404	120
984	7411	112
985	7419	105
986	7427	97
987	7437	90
988	7444	82
989	7452	75
990	7459	67
991	7467	60
992	7474	52
993	7482	45
994	7489	37
995	7496	30
996	7503	22
997	7510	15
998	7517	7
999	7526	0
