iter	Logloss
0	0.664189242
1	0.645817869
2	0.6265117931
3	0.6099833443
4	0.5931787392
5	0.5844209488
6	0.576116363
7	0.5691093565
8	0.5597233921
9	0.5550706216
10	0.5509560799
11	0.5473055099
12	0.5442058607
13	0.5413486071
14	0.538887412
15	0.5366416623
16	0.5345781334
17	0.5316008867
18	0.5298165803
19	0.5283854288
20	0.5273000852
21	0.5263455057
22	0.5243752231
23	0.5228692038
24	0.5221336782
25	0.5216677215
26	0.5210549177
27	0.520026015
28	0.5197255087
29	0.5191821044
30	0.5188615374
31	0.5184034387
32	0.518040291
33	0.5177192214
34	0.51742948
35	0.5172080258
36	0.5170336318
37	0.5167703112
38	0.5164616631
39	0.5162286467
40	0.5160616248
41	0.5159150293
42	0.5156535846
43	0.5155045221
44	0.5152814327
45	0.5151329264
46	0.5150067948
47	0.5149324978
48	0.5147510149
49	0.5146244543
50	0.5145210036
51	0.5144559121
52	0.5141175084
53	0.513952787
54	0.5138199123
55	0.5137169378
56	0.5136469163
57	0.5135771139
58	0.5135195018
59	0.5132588024
60	0.5131877516
61	0.5131026624
62	0.512952627
63	0.5128289912
64	0.512760697
65	0.512710375
66	0.5125743594
67	0.5125313428
68	0.5124621992
69	0.512252911
70	0.5121839605
71	0.5120970334
72	0.5119816348
73	0.5118872946
74	0.5118620293
75	0.5117789703
76	0.5117315198
77	0.5116815067
78	0.5116285139
79	0.5115813166
80	0.5115271352
81	0.5114494159
82	0.5113772078
83	0.5113325035
84	0.5112785239
85	0.5112508143
86	0.5112026772
87	0.5111758128
88	0.5111517277
89	0.5110883676
90	0.5110454324
91	0.5109643004
92	0.5109394446
93	0.5108438772
94	0.510802453
95	0.5107408988
96	0.5106796504
97	0.5105627207
98	0.5105109156
99	0.510489853
100	0.510453825
101	0.5103045019
102	0.5102743131
103	0.5102564916
104	0.5102369437
105	0.5101837139
106	0.51011031
107	0.5100417426
108	0.5099597879
109	0.5099273655
110	0.50989471
111	0.5098531631
112	0.5098371855
113	0.5097077648
114	0.509654967
115	0.5096102953
116	0.5095824574
117	0.5094998423
118	0.5094582398
119	0.5094369148
120	0.5093741262
121	0.5093539053
122	0.5093157736
123	0.509267436
124	0.509216065
125	0.5091334603
126	0.5091114305
127	0.5090724121
128	0.5090118423
129	0.5089727502
130	0.5089415611
131	0.5089025901
132	0.5088686461
133	0.5088204517
134	0.508780542
135	0.5087239157
136	0.5086969911
137	0.5086305518
138	0.5085990557
139	0.5085651205
140	0.5085172917
141	0.5084628348
142	0.5084244942
143	0.5083421902
144	0.5083033546
145	0.5082652727
146	0.5082025996
147	0.5081257248
148	0.5080538459
149	0.5080226318
150	0.5079316184
151	0.5079065134
152	0.5078710297
153	0.507820932
154	0.5077171872
155	0.5076980248
156	0.5076620963
157	0.5075911462
158	0.507545733
159	0.5074877522
160	0.5074318053
161	0.5073866635
162	0.5073454321
163	0.5072991675
164	0.5072394186
165	0.507221146
166	0.5071231154
167	0.5070520606
168	0.5069853109
169	0.506935723
170	0.5069216944
171	0.506877977
172	0.50680966
173	0.5067589112
174	0.5067270606
175	0.5066845494
176	0.5066103144
177	0.5065726374
178	0.5065517604
179	0.5065112147
180	0.5064373147
181	0.5064243096
182	0.5063910739
183	0.506355963
184	0.5062950332
185	0.5062467271
186	0.5061317086
187	0.5060899774
188	0.5060510731
189	0.5059985038
190	0.5059442576
191	0.505901826
192	0.5058371049
193	0.5058310342
194	0.5057588661
195	0.5057511121
196	0.505689167
197	0.5056521161
198	0.5055772441
199	0.5055300821
200	0.5054823557
201	0.5054359351
202	0.505348417
203	0.5053332275
204	0.5052876968
205	0.5052222225
206	0.5051759266
207	0.5051418215
208	0.505077584
209	0.5050382675
210	0.5050296452
211	0.5049982296
212	0.5049454513
213	0.5048842817
214	0.5048582579
215	0.5048034493
216	0.5047952706
217	0.5047525414
218	0.5046927715
219	0.5046697999
220	0.5046011492
221	0.5045777458
222	0.5045194728
223	0.504468676
224	0.5044009966
225	0.5043502438
226	0.504310325
227	0.5042628862
228	0.5042455652
229	0.5041972029
230	0.5041910822
231	0.50414587
232	0.5040664657
233	0.504015412
234	0.5039696727
235	0.5038947813
236	0.5038465099
237	0.5038122113
238	0.5037750631
239	0.5037607658
240	0.5037067153
241	0.5036823151
242	0.5036225045
243	0.5035643975
244	0.5034997259
245	0.5033970476
246	0.5033291893
247	0.5032752638
248	0.503211174
249	0.5032010687
250	0.5031742855
251	0.5031130614
252	0.5030629881
253	0.5029987803
254	0.5029547776
255	0.5029483964
256	0.5028736742
257	0.5028227089
258	0.5028005037
259	0.5027544935
260	0.5027103594
